,filename,distance
678,image_0001.jpg,0.0
667,image_0597.jpg,1241.81
958,image_0594.jpg,1283.24
547,image_0614.jpg,1416.44
399,image_0104.jpg,1446.35
39,image_1126.jpg,1448.59
74,image_0363.jpg,1485.15
471,image_0874.jpg,1494.91
82,image_0084.jpg,1504.19
68,image_0566.jpg,1522.61
384,image_0316.jpg,1526.1
203,image_0587.jpg,1539.26
534,image_1325.jpg,1567.1
1064,image_0948.jpg,1580.36
442,image_0845.jpg,1583.58
1120,image_0246.jpg,1644.77
70,image_1006.jpg,1649.48
1315,image_0591.jpg,1706.93
168,image_0858.jpg,1736.99
1314,image_1308.jpg,1746.63
1313,image_0011.jpg,1780.7
983,image_0457.jpg,1804.91
825,image_0111.jpg,1830.83
57,image_0345.jpg,1833.5
282,image_0593.jpg,1852.69
1340,image_0257.jpg,1926.37
250,image_0910.jpg,1987.3
605,image_0937.jpg,2019.9
1191,image_0322.jpg,2033.19
585,image_1193.jpg,2034.01
644,image_0576.jpg,2089.53
376,image_0612.jpg,2091.54
1300,image_0896.jpg,2111.75
1289,image_1014.jpg,2126.59
1068,image_0822.jpg,2142.87
32,image_0905.jpg,2173.73
135,image_1166.jpg,2186.33
218,image_0461.jpg,2192.14
394,image_0333.jpg,2192.23
233,image_0535.jpg,2201.12
215,image_0038.jpg,2212.21
91,image_0805.jpg,2217.28
405,image_0855.jpg,2221.04
969,image_0820.jpg,2225.9
307,image_1292.jpg,2261.73
599,image_0101.jpg,2291.8
727,image_0020.jpg,2303.05
496,image_0171.jpg,2306.63
191,image_1336.jpg,2345.77
417,image_0802.jpg,2385.71
1020,image_0841.jpg,2385.73
998,image_1133.jpg,2389.23
929,image_0071.jpg,2414.66
982,image_0967.jpg,2425.55
1043,image_1135.jpg,2501.86
857,image_0875.jpg,2573.12
17,image_1258.jpg,2653.35
1338,image_0894.jpg,2659.97
807,image_1031.jpg,2669.48
304,image_0096.jpg,2695.06
20,image_1155.jpg,2714.52
1140,image_0801.jpg,2748.72
560,image_1210.jpg,2784.95
475,image_0089.jpg,2792.55
839,image_1145.jpg,2809.57
1250,image_0562.jpg,2843.55
396,image_1072.jpg,2890.0
21,image_1112.jpg,2978.17
1236,image_0291.jpg,2996.76
1198,image_0790.jpg,2997.64
1166,image_0032.jpg,3031.41
795,image_0817.jpg,3033.43
323,image_1354.jpg,3050.41
791,image_0901.jpg,3074.26
569,image_0545.jpg,3115.64
8,image_0955.jpg,3161.28
0,image_1164.jpg,3162.97
904,image_0040.jpg,3179.53
439,image_0598.jpg,3179.85
86,image_0500.jpg,3201.63
1297,image_0720.jpg,3243.62
735,image_0036.jpg,3313.64
305,image_0569.jpg,3392.31
617,image_0852.jpg,3400.42
937,image_1013.jpg,3515.87
357,image_1129.jpg,3542.84
416,image_0582.jpg,3579.7
847,image_1170.jpg,3580.5
1125,image_1098.jpg,3588.98
93,image_1151.jpg,3594.33
450,image_0596.jpg,3721.05
692,image_0326.jpg,3727.79
670,image_0602.jpg,3747.03
152,image_0066.jpg,3779.05
868,image_0934.jpg,3803.43
688,image_0999.jpg,3823.78
899,image_0876.jpg,3888.37
535,image_1236.jpg,3964.37
1018,image_0557.jpg,3968.25
800,image_0261.jpg,3986.1
940,image_1246.jpg,3989.95
341,image_1036.jpg,4009.67
994,image_0162.jpg,4035.58
356,image_0914.jpg,4082.09
87,image_1287.jpg,4121.45
1071,image_0868.jpg,4135.58
1283,image_0843.jpg,4197.5
882,image_0836.jpg,4261.63
716,image_0862.jpg,4276.58
1346,image_1153.jpg,4277.0
150,image_1201.jpg,4290.45
919,image_0452.jpg,4296.72
391,image_0057.jpg,4339.02
609,image_0964.jpg,4389.79
559,image_0383.jpg,4400.22
182,image_0382.jpg,4418.09
1257,image_1217.jpg,4434.49
